PRECMP              #                   
ID                  include             
LESS                <                   
ID                  stdio               
DOT                 .                   
ID                  h                   
GRTER               >                   
EXTERN              extern              
INT                 int                 
ID                  integer             
SEMICOLON           ;                   
INT                 int                 
ID                  main                
LBRKT               (                   
VOID                void                
RBRKT               )                   
LCLYBRKT            {                   
STATIC              static              
CONST               const               
INT                 int                 
ID                  array               
LSQRBRKT            [                   
NUM                 3                   
RSQRBRKT            ]                   
ASSIGN              =                   
LCLYBRKT            {                   
NUM                 0                   
COMMA               ,                   
NUM                 0                   
COMMA               ,                   
NUM                 0                   
RCLYBRKT            }                   
SEMICOLON           ;                   
STRUCT              struct              
ID                  bozo                
LCLYBRKT            {                   
INT                 int                 
ID                  bo                  
SEMICOLON           ;                   
DOUBLE              double              
ID                  zo                  
SEMICOLON           ;                   
RCLYBRKT            }                   
SEMICOLON           ;                   
STRUCT              struct              
ID                  bozo                
ID                  bz                  
SEMICOLON           ;                   
ID                  bz                  
DOT                 .                   
ID                  bo                  
ASSIGN              =                   
NUM                 1                   
SEMICOLON           ;                   
ID                  bz                  
DOT                 .                   
ID                  zo                  
MINUSEQ             -=                  
FNUM                1.0                 
SEMICOLON           ;                   
ID                  integer             
PLUSEQ              +=                  
SIZEOF              sizeof              
LBRKT               (                   
INT                 int                 
RBRKT               )                   
SEMICOLON           ;                   
ID                  integer             
DIVEQ               /=                  
ID                  integer             
STAR                *                   
NUM                 3                   
DIV                 /                   
NUM                 4                   
MINUS               -                   
NUM                 5                   
SEMICOLON           ;                   
ID                  integer             
MULEQ               *=                  
ID                  integer             
SEMICOLON           ;                   
IF                  if                  
LBRKT               (                   
LBRKT               (                   
ID                  integer             
LESS                <                   
ID                  integer             
PLUS                +                   
NUM                 1                   
RBRKT               )                   
AND                 &&                  
LBRKT               (                   
ID                  integer             
LESSEQ              <=                  
NUM                 0                   
RBRKT               )                   
RBRKT               )                   
LCLYBRKT            {                   
IF                  if                  
LBRKT               (                   
LBRKT               (                   
DEC                 --                  
ID                  integer             
GRTER               >                   
MINUS               -                   
NUM                 1                   
RBRKT               )                   
OR                  ||                  
LBRKT               (                   
INC                 ++                  
ID                  integer             
GRTEREQ             >=                  
ID                  integer             
RBRKT               )                   
RBRKT               )                   
LCLYBRKT            {                   
IF                  if                  
LBRKT               (                   
LBRKT               (                   
ID                  integer             
EQ                  ==                  
NOT                 !                   
ID                  integer             
RBRKT               )                   
AND                 &&                  
LBRKT               (                   
ID                  integer             
NEQ                 !=                  
ID                  integer             
RBRKT               )                   
RBRKT               )                   
LCLYBRKT            {                   
ID                  printf              
LBRKT               (                   
STRING              ---string literal---\nanother line!\n
RBRKT               )                   
SEMICOLON           ;                   
ID                  integer             
ASSIGN              =                   
NUM                 10                  
MOD                 %                   
NUM                 10                  
PLUS                +                   
ADDR                &                   
ID                  integer             
SEMICOLON           ;                   
RCLYBRKT            }                   
RCLYBRKT            }                   
RCLYBRKT            }                   
ELSE                else                
LCLYBRKT            {                   
DO                  do                  
LCLYBRKT            {                   
SWITCH              switch              
LBRKT               (                   
ID                  integer             
RBRKT               )                   
LCLYBRKT            {                   
ID                  case                
NUM                 0                   
COLON               :                   
CONTINUE            continue            
SEMICOLON           ;                   
DEFAULT             default             
COLON               :                   
RCLYBRKT            }                   
BREAK               break               
SEMICOLON           ;                   
RCLYBRKT            }                   
WHILE               while               
LBRKT               (                   
NUM                 1                   
RBRKT               )                   
SEMICOLON           ;                   
RCLYBRKT            }                   
RETURN              return              
NUM                 0                   
SEMICOLON           ;                   
RCLYBRKT            }                   
